French,English
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
car,because
mettre,to put
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
devrait,should
bébé,baby
heures,hours
pendant,while
revoir,meet again
aucune,any
place,square
compris,understood
savais,knew
attention,Warning
voici,here is
pourrais,could
affaire,case
type,type
leurs,their
donné,given
corps,body
endroit,place
yeux,eyes
écoute,listen
trouve,find
premier,first
main,hand
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
enfant,child
venu,came
venez,come
vers,towards
minutes,minutes
droit,law
aimerais,would like to
cause,cause
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
chérie,sweetheart
gros,large
filles,girls
jouer,to play
bureau,office
